77,20190821,0.000238,101.9.83.152,->,211.78.222.180,DNS,77,Standard query,0x6616,A,fonts.gstatic.com
78,20190821,0.000246,123.194.229.202,->,211.78.222.180,DNS,81,Standard query,0x4752,A,tracker.vanitycore.co
79,20190821,0.000250,101.12.211.94,->,10.254.79.197,DNS,88,Standard query,0x7a9a,A,video.ftpe11-1.fna.fbcdn.net
80,20190821,0.000253,123.194.229.202,->,211.78.222.180,DNS,81,Standard query,0x4752,A,tracker.vanitycore.co
81,20190821,0.000256,180.176.69.191,->,211.78.222.180,DNS,76,Standard query,0x7d1f,A,ci.line-apps.com
82,20190821,0.000259,211.78.222.180,->,115.165.217.156,DNS,103,Standard query response,0xe8c1,A,172.217.160.106
83,20190821,0.000260,115.165.217.156,->,211.78.222.180,DNS,87,Standard query,0xe8c1,A,safebrowsing.googleapis.com
84,20190821,0.000263,101.9.13.94,->,211.78.222.180,DNS,75,Standard query,0x75e0,A,www.gstatic.com
85,20190821,0.000266,211.78.222.179,->,123.193.43.21,DNS,162,Standard query response,0x889e,A,aaa.com
86,20190821,0.000270,175.96.67.55,->,10.254.79.197,DNS,81,Standard query,0x7797,A,csc.beap.bc.yahoo.com
87,20190821,0.000275,10.254.79.197,->,101.12.211.94,DNS,104,Standard query response,0x7a9a,A,175.96.17.18
88,20190821,0.000283,211.78.222.180,->,101.9.83.152,DNS,129,Standard query response,0x6616,CNAME,gstaticadssl.l.google.com
89,20190821,0.000285,10.254.79.197,->,175.96.67.55,DNS,142,Standard query response,0x7797,A,aaa.com
90,20190821,0.000287,101.9.98.114,->,211.78.222.179,DNS,85,Standard query,0x8d22,A,tpc.googlesyndication.com
91,20190821,0.000290,211.78.222.180,->,101.9.13.94,DNS,91,Standard query response,0x75e0,A,172.217.27.131
92,20190821,0.000296,103.224.200.121,->,211.78.222.180,DNS,91,Standard query,0x2d70,A,instagram.ftpe4-2.fna.fbcdn.net
93,20190821,0.000300,123.194.229.202,->,211.78.222.180,DNS,78,Standard query,0xabac,A,tracker3.itzmx.com
94,20190821,0.000302,49.158.9.119,->,211.78.222.180,DNS,72,Standard query,0x56fc,AAAA,bt.cnscg.com
95,20190821,0.000319,10.254.79.197,->,101.14.148.127,DNS,100,Standard query,0x53b6,AAAA,is4-ssl.mzstatic.com
96,20190821,0.000324,10.254.79.197,->,101.14.148.127,DNS,288,Standard query response,0x53b6,CNAME,is-ssl.mzstatic.com.itunes-apple.com.akadns.net
97,20190821,0.000325,10.254.79.197,->,101.14.148.127,DNS,97,Standard query,0x5e94,AAAA,pic4.iqiyipic.com
98,20190821,0.000329,10.254.79.197,->,101.14.148.127,DNS,110,Standard query,0x4a62,AAAA,gs-loc.ls-apple.com.akadns.net
99,20190821,0.000332,10.254.79.197,->,101.14.148.127,DNS,97,Standard query,0xa462,AAAA,pic0.iqiyipic.com
100,20190821,0.000339,183.192.201.90,->,10.254.79.196,DNS,161,Standard query response,0xed86,A,103.49.212.242
1,20190821,0.000000,10.254.79.197,->,101.14.148.127,DNS,114,Standard query,0x255d,AAAA,configuration.apple.com.akadns.net
2,20190821,0.000003,10.254.79.197,->,101.14.148.127,DNS,118,Standard query response,0x1ce6,CNAME,kg.connect.garena.com
3,20190821,0.000004,211.78.222.179,->,101.13.116.240,DNS,150,Standard query response,0x5839,CNAME,dual-a-0001.a-msedge.net
4,20190821,0.000005,10.254.79.197,->,101.14.148.127,DNS,122,Standard query response,0xf02f,A,aaa.com
5,20190821,0.000006,10.254.79.197,->,101.14.148.127,DNS,146,Standard query response,0x9770,AAAA,aaa.com
6,20190821,0.000006,101.13.116.240,->,211.78.222.179,DNS,92,Standard query,0x5839,A,bat-bing-com.a-0001.a-msedge.net
7,20190821,0.000009,10.254.79.197,->,101.14.148.127,DNS,93,Standard query,0x972d,AAAA,lan-o.line.me
8,20190821,0.000021,10.254.79.197,->,101.14.148.127,DNS,252,Standard query response,0x255d,CNAME,configuration.apple.com.edgekey.net
